Pokémon,Cost,Label,Weight
REGIGIGAS,7,–,100
ARTICUNO,6,–,175
ZAPDOS,6,–,175
MOLTRES,6,–,175
RAIKOU,6,–,175
ENTEI,6,–,175
SUICUNE,6,–,175
REGIROCK,6,–,175
REGICE,6,–,175
REGISTEEL,6,–,175
LATIAS,7,–,100
LATIOS,7,–,100
JIRACHI,7,EGGSCLUSIVE,100
UXIE,6,–,175
MESPRIT,6,–,175
AZELF,6,–,175
HEATRAN,6,–,175
CRESSELIA,6,–,175
DARKRAI,6,–,175
SHAYMIN,6,–,175
COBALION,6,–,175
TERRAKION,6,–,175
VIRIZION,6,–,175
TORNADUS,7,–,100
THUNDURUS,7,–,100
LANDORUS,7,–,100
KELDEO,6,–,175
MELOETTA,6,–,175
DIANCIE,7,–,100
HOOPA,7,–,100
VOLCANION,6,–,175
TAPU_KOKO,6,–,175
TAPU_LELE,6,–,175
TAPU_BULU,6,–,175
TAPU_FINI,6,–,175
COSMOG,6,–,175
NIHILEGO,6,–,175
BUZZWOLE,6,–,175
PHEROMOSA,7,–,100
XURKITREE,6,–,175
CELESTEELA,6,–,175
KARTANA,7,–,100
GUZZLORD,6,–,175
MAGEARNA,7,–,100
MARSHADOW,7,–,100
POIPOLE,7,–,100
STAKATAKA,6,–,175
BLACEPHALON,7,–,100
ZERAORA,6,–,175
KUBFU,7,–,100
ZARUDE,7,–,100
REGIELEKI,6,–,175
REGIDRAGO,6,–,175
GLASTRIER,6,–,175
SPECTRIER,7,–,100
ENAMORUS,7,–,100
WO_CHIEN,6,–,175
CHIEN_PAO,7,–,100
TING_LU,6,–,175
CHI_YU,7,–,100
OKIDOGI,6,–,175
MUNKIDORI,6,–,175
FEZANDIPITI,6,–,175
OGERPON,7,–,100
GENESECT,6,–,175
CELEBI,6,EGGSCLUSIVE,175
MEW,6,EGGSCLUSIVE,175
MELTAN,6,EGGSCLUSIVE,175
PECHARUNT,6,EGGSCLUSIVE,175
VICTINI,7,EGGSCLUSIVE,100
DEOXYS,7,EGGSCLUSIVE,100
GALAR_ARTICUNO,6,GALAR,87
GALAR_ZAPDOS,6,GALAR,87
GALAR_MOLTRES,6,GALAR,87
BLOODMOON_URSALUNA,7,PALDEA,50
GREAT_TUSK,6,PARADOX,175
SCREAM_TAIL,6,PARADOX,175
BRUTE_BONNET,6,PARADOX,175
FLUTTER_MANE,6,PARADOX,175
SLITHER_WING,6,PARADOX,175
SANDY_SHOCKS,6,PARADOX,175
IRON_TREADS,6,PARADOX,175
IRON_BUNDLE,6,PARADOX,175
IRON_HANDS,6,PARADOX,175
IRON_JUGULIS,6,PARADOX,175
IRON_MOTH,6,PARADOX,175
IRON_THORNS,6,PARADOX,175
ROARING_MOON,6,PARADOX,175
IRON_VALIANT,6,PARADOX,175
WALKING_WAKE,6,PARADOX,175
IRON_LEAVES,6,PARADOX,175
GOUGING_FIRE,7,PARADOX,100
RAGING_BOLT,6,PARADOX,175
IRON_BOULDER,7,PARADOX,100
IRON_CROWN,6,PARADOX,175
95,,,14286
